医療機関略称,所在地,電話番号
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
仙台クリニック,仙台市太白区秋保町湯元字木戸保１−１,022-398-2201
仙台クローバークリニック,仙台市太白区あすと長町１丁目２－１　長町メディカルプラザ３階,022-797-5164
仙台市夜間休日こども急病診療所,仙台市太白区あすと長町１丁目１－１　仙台市立病院１階,022-247-7035
仙台市立病院,仙台市太白区あすと長町１丁目１－１,022-308-7111
仙台赤十字病院,仙台市太白区八木山本町２丁目４３−３,022-243-1111
仙台富沢病院,仙台市太白区富沢字寺城１１−４,022-307-3375
仙台西多賀病院,仙台市太白区鈎取本町２−１１−１１,022-245-2111
仙台柳生クリニック,仙台市太白区柳生７丁目１６−１,022-241-6651
太白ありのまま舎医務室,仙台市太白区茂庭台２丁目１５−３０,022-281-1200
太白クリニック,仙台市太白区富沢字鍛冶屋敷前２３,022-226-8339
舘下診療所,仙台市太白区長町５丁目２−１６　１０１,022-748-0173
ちばクリニック,仙台市太白区緑ケ丘１丁目３−１９,022-248-5778
富沢ホームケアクリニック,仙台市太白区大野田４丁目１８－２,022-796-1720
富沢南とだクリニック,仙台市太白区富沢南１丁目１４−３,022-243-7288
内科星クリニック,仙台市太白区袋原６丁目１０−３１,022-241-3366
ないとうクリニック,仙台市太白区茂庭台３丁目３０－３０,022-281-5490
中田公園前クリニック,仙台市太白区東中田４丁目５−５,022-241-5555
中田内科胃腸科医院,仙台市太白区中田４丁目１６−３,022-306-1511
長町病院,仙台市太白区長町３丁目７−２６,022-746-5161
長町南クリニック,仙台市太白区長町南２丁目６－５,022-796-8763
なるみ赤ちゃんこどもクリニック,仙台市太白区長町南３－９－２８　バリーハイツ２Ｆ,022-746-8452
新井川内科,仙台市太白区泉崎１丁目２９−１５,022-243-4141
西多賀やまだ内科,仙台市太白区西多賀３丁目５－１８,022-796-5090
西中田中央内科小児科,仙台市太白区西中田５丁目１２−１２,022-241-1131
花だて内科循環器科,仙台市太白区大野田５丁目３８－３,022-797-3466
花水こどもクリニック,仙台市太白区泉崎１丁目３２－１５,022-743-2525
ばばクリニック,仙台市太白区中田５丁目７−１６,022-399-8750
平沢内科,仙台市太白区砂押南町１−４７,022-246-3511
袋原内科,仙台市太白区東中田４丁目１４−３,022-242-2883
藤原外科医院,仙台市太白区長町５丁目９−１５,022-248-4588
まきこ内科クリニック,仙台市太白区あすと長町１丁目２－１　仙台長町メディカルプラザ２Ｆ,022-797-2794
松本小児科,仙台市太白区長町４丁目７−２３　エルピノ１Ｆ,022-246-2525
丸山アレルギークリニック,仙台市太白区あすと長町４丁目２−１０,022-304-1191
みうら医院,仙台市太白区東中田２丁目２７−２６,022-241-4161
南大野田こいけクリニック,仙台市太白区南大野田１０−４,022-247-4228
みのりファミリークリニック,仙台市太白区長町５丁目９－１３　１Ｆ,022-226-7264
みやざきクリニック,仙台市太白区長町７丁目２０−５　ララガーデン長町４階,022-738-7103
宮田医院,仙台市太白区四郎丸字吹上７１−４,022-241-4623
めざきクリニック,仙台市太白区八木山本町１丁目１２−１,022-229-1118
本島内科胃腸科クリニック,仙台市太白区西中田７丁目２６−３０,022-306-0620
茂庭台診療所,仙台市太白区茂庭台２丁目１６−１０,022-281-3133
杜都千愛病院,仙台市太白区茂庭字人来田西８－１３,022-281-0033
森元クリニック,仙台市太白区長町南１丁目１−８　Ｋ’ｓビル長町南２Ｆ,022-304-3531
門間医院,仙台市太白区八本松１丁目４−１７,022-246-7151
八木山すずきクリニック,仙台市太白区八木山本町１丁目２１－１７,022-796-8868
八木山内科クリニック,仙台市太白区八木山本町１丁目１３－６,022-724-7501
矢口クリニック,仙台市太白区富沢字鍛冶屋敷３７－１,022-724-7511
柳生吉田こどもクリニック,仙台市太白区柳生字田中８−８,022-306-0133
山田医院,仙台市太白区金剛沢３丁目１４−３３,022-245-5711
山家内科医院,仙台市太白区金剛沢１丁目４−２６,022-245-2841
ユキクリニック,仙台市太白区長町７丁目１９−２６,022-304-5222
渡辺アイ整形外科胃腸内科,仙台市太白区袋原４丁目３７－１０,022-302-5302
わたなべクリニック,仙台市太白区長町南４丁目１２−２７,022-247-7786
渡辺内科胃腸科,仙台市太白区長町７丁目２−７,022-247-3105
わたるクリニック,仙台市太白区山田新町７４－１,022-307-6645
五十嵐内科,仙台市泉区向陽台２丁目２５−３,022-374-2077
いずみ往診クリニック,仙台市泉区泉中央１丁目１４−１　インテレクト21ビル２階,022-772-7101
泉大沢ファミリークリニック,仙台市泉区大沢２丁目１２−４,022-341-8642
泉ヶ丘クリニック,仙台市泉区桂１丁目１８－１,022-373-7715
泉ヶ丘佐藤内科医院,仙台市泉区泉ヶ丘４丁目２７−１０,022-373-7240
いずみクリニック,仙台市泉区加茂４丁目４−２,022-377-0551
泉黒沢クリニック,仙台市泉区松森字陣ヶ原２４−３,022-373-9755
泉こころのクリニック,仙台市泉区泉中央１丁目１２−２　泉パークビル３階,022-374-1156
泉整形外科病院,仙台市泉区上谷刈字丸山６−１,022-373-7377
泉地区休日診療所,仙台市泉区泉中央２丁目２４−１,022-373-9197
泉中央こどもクリニック,仙台市泉区泉中央３丁目２９−７,022-771-5510
泉中央内科,仙台市泉区泉中央２丁目２２−６,022-371-7772
泉内科消化器科,仙台市泉区泉中央２丁目１５−８,022-372-5556
泉七北田こどもの杜クリニック,仙台市泉区七北田字東裏２７−２,022-344-6315
いずみ野村ファミリークリニック,仙台市泉区野村字桂島東１－５,022-342-1537
泉パークタウンクリニック,仙台市泉区高森７丁目４５−３,022-378-7550
いずみ向日葵クリニック,仙台市泉区八乙女中央５丁目１８−１６,022-344-8315
井上胃腸内科医院,仙台市泉区高森１丁目１−１９７,022-378-0303
牛込医院,仙台市泉区南光台７丁目５−２７,022-253-0838
おおさか内科外科クリニック,仙台市泉区明石南３丁目５−７,022-773-8761
大澤内科,仙台市泉区住吉台東２丁目８−２０,022-376-3631
おおつか内科醫院,仙台市泉区将監８丁目８－１,022-343-6620
おかだ小児科,仙台市泉区黒松１丁目３−５,022-728-6057
岡部クリニック,仙台市泉区南中山２丁目３８−３,022-376-0180
桂こどもクリニック,仙台市泉区桂３丁目１−４,022-375-7220
桂島いずみクリニック,仙台市泉区桂１丁目１７−７,022-771-8876
北中山クリニック,仙台市泉区北中山２丁目１−２４,022-348-2650
黒松内科,仙台市泉区黒松１丁目３１－９　杉本ビル,022-347-3477
向陽台クリニック,仙台市泉区向陽台３丁目３−１２,022-373-6800
小松クリニック,仙台市泉区泉中央１丁目３８−１７,022-772-8801
こん小児科クリニック,仙台市泉区八乙女中央２丁目４－２５,022-341-2701
さいとう呼吸器科・内科,仙台市泉区南光台東１丁目１３−３０,022-251-9567
櫻井内科医院,仙台市泉区南光台南１丁目４−２０,022-251-5520
佐治クリニック,仙台市泉区鶴が丘１丁目３８−２,022-372-5055
佐竹医院,仙台市泉区南光台５丁目２８−３,022-271-7111
実沢クリニック,仙台市泉区実沢字道祖神２,022-703-4121
しょうげん内科クリニック,仙台市泉区将監殿３丁目２１−７,022-772-2130
松陵かきざきクリニック,仙台市泉区松陵２丁目２２−３,022-772-2666
しらい健康クリニック泉中央,仙台市泉区泉中央４丁目８－２　ソレイユハイツ泉中央１階,022-346-0886
須藤内科クリニック,仙台市泉区上谷刈字治郎兵衛下４８−１,022-773-2888
瑞泉会宮城クリニック,仙台市泉区八乙女中央２丁目３−８　東北療院２階,022-739-8035
せき内科クリニック,仙台市泉区松森字新田１０７,022-771-2882
泉松クリニック,仙台市泉区松森字新田１,022-771-1533
仙台胃腸クリニック,仙台市泉区上谷刈２丁目４−３０,022-218-3888
仙台北クリニック,仙台市泉区八乙女中央５丁目１１−１１,022-371-6511
仙台循環器病センター,仙台市泉区泉中央１丁目６－１２,022-372-1111
仙台徳洲会病院,仙台市泉区七北田字駕籠沢１５,022-372-1110
仙台脳外泉中央,仙台市泉区泉中央１丁目３９−２,022-343-0655
仙台北部整形外科,仙台市泉区大沢２丁目１３−４,022-776-1888
髙木医院,仙台市泉区南中山２丁目２７−１,022-379-3811
高森クリニック,仙台市泉区高森４丁目６−６,022-777-1888
高森こういちクリニック,仙台市泉区野村字筒岫屋敷１８−２,022-777-9001
たんぽぽクリニック,仙台市泉区泉中央南１４番地,022-772-2181
千田産婦人科,仙台市泉区南光台南２丁目７−７,022-251-8256
長命ヶ丘内科クリニック,仙台市泉区長命ヶ丘６丁目１５−７,022-377-6066
長命ヶ丘針生・舟田クリニック,仙台市泉区長命ヶ丘２丁目１７−２,022-378-6021
Ｔ＆Ａ内科クリニック,仙台市泉区将監８丁目１５−３１,022-355-7666
寺岡クリニック,仙台市泉区寺岡５丁目８−２,022-378-0811
七北田クリニック,仙台市泉区市名坂字東裏４０−２,022-739-7781
南光台伊藤クリニック,仙台市泉区南光台南２丁目４−２２,022-252-1234
南光台みやぐち内科クリニック,仙台市泉区南光台３丁目２７－１７,022-343-8270
南光台やまもと小児科,仙台市泉区南光台３丁目２３−２２,022-727-2577
虹の丘小児科内科クリニック,仙台市泉区虹の丘１丁目１１−１６,022-373-9088
根白石診療所,仙台市泉区根白石字堂ノ沢９,022-376-7577
橋本内科胃腸科医院,仙台市泉区長命ケ丘３丁目２−８,022-378-5524
長谷川小児科医院,仙台市泉区泉中央３丁目１−９,022-375-0555
畑岡内科クリニック,仙台市泉区寺岡１丁目２−１,022-378-8511
花田消化器科・内科,仙台市泉区南光台３丁目１８−５,022-233-5720
春山医院,仙台市泉区松陵４丁目２−５,022-375-8023
東岡内科醫院,仙台市泉区松森字岡本前１０−１,022-218-2121
福田内科クリニック,仙台市泉区泉中央１丁目１７−１,022-374-7550
ふるさと往診クリニック,仙台市泉区明石南２丁目４−５,022-344-8987
プレシオーソクリニック,仙台市泉区南光台７丁目１－１８,022-353-6971
ほし外科医院,仙台市泉区南光台南３丁目４−１０,022-251-5059
ホームドクターズ奥山,仙台市泉区加茂４丁目４−５,022-377-2882
松田病院,仙台市泉区実沢字立田屋敷１７−１,022-378-5666
松永厚生クリニック,仙台市泉区泉中央１丁目２６−４,022-772-6801
南中山内科クリニック,仙台市泉区南中山３丁目１６−４,022-348-2301
宮城厚生協会泉病院,仙台市泉区長命ケ丘２丁目１−１,022-378-5361
宮澤クリニック,仙台市泉区泉中央１丁目１４−１　インテレクト２１ビル５Ｆ,022-374-5588
紫山公園ファミリークリニック,仙台市泉区紫山４丁目２０－１１,022-343-6231
杜の泉内科循環器科,仙台市泉区寺岡５丁目１−２５,022-378-9975
八乙女あらい内科,仙台市泉区八乙女４丁目４－３,022-725-5722
八乙女駅前内科小児科,仙台市泉区八乙女中央１丁目３−２６,022-739-8804
八乙女クリニック,仙台市泉区八乙女２丁目１２−２,022-374-3555
やかたクリニック,仙台市泉区館３丁目３７－１,022-348-2252
リズムタウン仙台診察室,仙台市泉区古内字坂ノ上１６－６,022-378-8070
あいかわ小児クリニック,石巻市丸井戸３丁目４−１０,0225-92-8805
茜平クリニック,石巻市茜平２丁目２－１７,0225-98-5108
阿部こどもクリニック,石巻市千石町６−１１,0225-22-1152
網小医院,石巻市長渡浜杉１３−３,0225-49-2033
あゆみ野クリニック,石巻市あゆみ野２丁目１４－１,0225-95-0182
いしづか内科クリニック,石巻市恵み野５丁目１０－３８,0225-92-7311
石巻健育会病院,石巻市大街道西３丁目３番２７号,0225-94-9195
石巻市夜間急患センター,石巻市蛇田字西道下７１,0225-94-5111
石巻市寄磯診療所,石巻市寄磯浜赤島２－１,0225-48-2111
石巻市立牡鹿病院,石巻市鮎川浜清崎山７,0225-45-3185
石巻市立病院,石巻市穀町１５－１,0225-25-5555
石巻診療所,石巻市穀町５−２４,0225-23-0125
石巻赤十字病院,石巻市蛇田字西道下７１,0225-21-7220
石巻ロイヤル病院,石巻市広渕字焼巻２,0225-73-5888
伊藤内科クリニック,石巻市中里２丁目１２−１,0225-96-6372
駅前北きし内科クリニック,石巻市駅前北通り１丁目１４−２１,0225-95-3123
大街道じゅんクリニック,石巻市大街道北３丁目４−９７,0225-92-1092
おおば小児クリニック,石巻市門脇字青葉西３８−１,0225-93-9693
雄勝診療所,石巻市雄勝町小島字和田１２３,0225-25-7641
かづま内科クリニック,石巻市鹿妻南１丁目１３−１６,0225-96-7700
上石内科クリニック,石巻市清水町１丁目７−１２,0225-22-2602
亀田クリニック,石巻市大街道南５丁目４−３１,0225-95-6118
かわらだ内科クリニック,石巻市鋳銭場１−１０,0225-21-5335
簡野医院,石巻市鹿又字八幡前１７−４,0225-74-2244
久門医院,石巻市垂水町３丁目６−１,0225-97-4141
栗原医院,石巻市桃生町寺崎字舟場前２３−１,0225-76-4170
こばやし医院,石巻市蛇田字南経塚７−３,0225-22-0789
齋藤病院,石巻市山下町１丁目７−２４,0225-96-3251
坂井内科胃腸科,石巻市中里３丁目１−１１,0225-93-8228
佐久間眼科小児科医院,石巻市八幡町１−３−２２,0225-92-7651
櫻井内科クリニック,石巻市広渕字町北７０−１,0225-73-3811
佐々木医院,石巻市和渕字和渕町８６,0225-72-3122
佐藤神経内科医院,石巻市大手町１−８,0225-22-5522
佐藤内科,石巻市茜平４丁目１０４番地　イオンモール石巻　１Ｆ,0225-22-3020
紫桃内科医院,石巻市鹿又字伊勢前５３−２,0225-75-2325
東海林内科胃腸科,石巻市門脇字二番谷地１３−５６２,0225-96-2823
診療所　在宅医療,石巻市大街道北３丁目６−７２　ぷらすぴあさいとうA-102、103,0225-98-6255
須江きむら医院,石巻市須江字皮剥１０５－２,0225-24-6311
髙橋消化器内科,石巻市千石町２−５,0225-95-1621
田代診療所,石巻市田代浜字仁斗田１２６,0225-98-2005
中浦内科医院,石巻市中浦１丁目２−１１１,0225-21-7551
中川内科外科医院,石巻市前谷地字横須賀１０３−７,0225-72-2123
中山こどもクリニック,石巻市中里３丁目４−２７,0225-95-4121
成田医院,石巻市相野谷字飯野川町１２２,0225-62-3221
日本製紙㈱石巻工場診療所,石巻市南光町１丁目１２−８,0225-95-0346
二宮外科クリニック,石巻市不動町１丁目７－３,0225-22-0202
橋浦診療所,石巻市北上町橋浦字大須２１５,0225-67-2051
古山内科・循環器科,石巻市元倉１丁目９−９−８,0225-23-0221
まだらめ内科医院,石巻市わかば２丁目１－５,0225-24-9133
箕田内科クリニック,石巻市向陽町２丁目１−１９,0225-96-5252
宮城クリニック,石巻市中里７丁目３−３５,0225-22-5410
ものうファミリークリニック,石巻市桃生町中津山字八木１６７−４,0225-76-4024
森消化器内科外科,石巻市新橋５−３３,0225-23-2151
矢吹クリニック,石巻市大橋３丁目２−７,0225-21-6117
やまもと産婦人科,石巻市大街道北１丁目３−１５,0225-93-7000
よしろう内科,石巻市住吉町１丁目８−４６,0225-22-3277
わたのはクリニック,石巻市さくら町５丁目１３－１,0225-24-6350
イオンタウン矢本内科,東松島市小松字谷地２２６,0225-24-6119
石垣クリニック内科循環器科,東松島市矢本字大林１４,0225-83-7070
伊東胃腸科内科,東松島市赤井字鷲塚６９−８,0225-82-6666
うつみレディスクリニック,東松島市赤井字八反谷地１３２−６,0225-84-2868
かしわや内科クリニック,東松島市小松字若葉７−１０,0225-83-2003
神山クリニック,東松島市赤井字川前４－１－６,0225-98-8617
北原ライフサポートクリニック東松島,東松島市川下字内響１３２−３２,0225-86-1181
航空自衛隊松島基地医務室,東松島市矢本字板取８５,0225-82-2111
ししど内科クリニック,東松島市赤井字南一２２３,0225-83-8830
仙石病院,東松島市赤井字台５３−７,0225-83-2111
永沼ハートクリニック,東松島市赤井字川前一９−１,0225-82-6680
鳴瀬中央医院,東松島市牛網字新上江戸原８１番地１,0225-87-3853
ひかりサンテクリニック,東松島市矢本字上河戸２９３−８,0225-84-1333
不老園　診療所,東松島市野蒜ヶ丘３丁目２７－１,0225-98-7110
真壁病院,東松島市矢本字鹿石前１０９−４,0225-82-7111
みやぎ東部循環器科,東松島市赤井字八反谷地９６−１,0225-82-9930
宮戸クリニック,東松島市宮戸字里８１−１８,0225-88-2208
森さい生医院,東松島市野蒜ケ丘３丁目２８－３,0225-98-8891
やもと内科クリニック,東松島市矢本字大溜３２５,0225-98-3260
女川町地域医療センター,牡鹿郡女川町鷲神浜字堀切山１０７－１,0225-53-5511
赤石病院,塩竈市花立町２２−４２,022-362-8131
いけの医院,塩竈市藤倉３丁目１７−５,022-367-1110
浦戸診療所,塩竈市浦戸野々島字河岸５０,022-369-2350
及川内科,塩竈市尾島町５−１６,022-364-8986
金医院,塩竈市旭町５−１０,022-362-2026
坂総合病院附属北部診療所,塩竈市庚塚１−３,022-366-7251
ささき内科・呼吸器科クリニック,塩竈市玉川１丁目３−３０,022-365-6201
塩竈市立病院,塩竈市香津町７−１,022-364-5521
塩釜地区休日急患診療センター,塩竈市錦町７−１０,022-366-0630
清水沢クリニック,塩竈市清水沢３丁目１４−２４,022-367-6822
新浜クリニック,塩竈市新浜町１丁目６−１８,022-363-3363
